TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
80132,89058,10828,12063,91,93,1156,738,9,7,155,94
70524,80365,10239,11664,92,95,673,391,8,5,109,68
73618,81650,10920,12138,93,94,923,344,7,6,110,39
69886,85300,10366,12635,91,97,901,209,9,3,120,24
130627,146703,14694,16424,91,95,1101,624,9,5,99,73
124612,142493,14478,16507,92,97,932,299,8,3,107,33
138131,149601,14982,16197,96,98,202,144,4,2,25,18
133703,148730,14977,16525,96,98,222,426,4,2,25,35
131754,147867,14588,16332,95,98,431,428,5,2,55,41
134076,144364,14480,15269,96,95,716,418,4,5,64,67
127040,152305,13710,16419,92,96,835,277,8,4,86,34
147935,147935,15778,15778,94,94,314,314,6,6,51,51
135708,152385,14209,16192,94,96,560,145,6,4,66,21
158326,167772,16811,18021,95,95,656,756,5,5,70,80
65814,77489,9858,11660,88,93,1970,874,12,7,270,124
79691,94721,10906,13088,92,98,1002,464,8,2,129,49
70121,77513,9626,10682,89,92,1236,795,11,8,226,162
62188,66264,8840,9492,89,90,1442,884,11,10,224,125
66976,81295,9490,11591,88,96,1084,453,12,4,179,81
68134,74740,10168,11193,90,93,826,544,10,7,156,103
76024,92084,10149,12245,89,95,1381,428,11,5,209,60
76411,89876,10336,12252,89,94,1214,503,11,6,198,72
72888,86648,10591,12565,89,95,1478,736,11,5,183,89
65698,77040,9918,11655,90,94,1094,663,10,6,184,113
119395,127448,13270,14238,92,94,1270,837,8,6,124,76
133955,151332,13940,15842,93,95,680,217,7,5,106,27
136581,152610,14608,15931,90,95,1552,902,10,5,173,104
110239,125995,12481,14364,90,95,883,320,10,5,132,64
113861,128141,12671,14199,94,94,1039,441,6,6,119,63
111373,116387,12284,12749,90,92,1171,1209,10,8,170,179
150330,162672,15474,16657,93,95,598,557,7,5,88,70
119503,134318,13363,14929,89,93,1810,1250,11,7,191,129
120401,122757,12874,13113,91,92,1054,1184,9,8,118,142
127271,132453,13706,14250,93,94,506,814,7,6,62,80
122347,126592,17798,18480,96,96,301,301,4,4,37,37
122102,139889,16364,18596,94,97,488,81,6,3,74,20
125618,128940,17576,18183,98,98,214,214,2,2,26,26
137951,143592,18012,18676,96,96,318,302,4,4,45,45
125426,145887,17085,19717,94,98,402,130,6,2,71,24
106120,122943,16342,18903,95,97,282,236,5,3,44,44
116828,128677,15970,17747,91,96,570,169,9,4,99,34
104549,119782,15944,18143,94,97,662,292,6,3,84,47
112453,131296,15304,17908,96,98,251,42,4,2,41,6
123424,137200,17143,19070,94,98,247,102,6,2,44,24
201552,217199,23638,25478,93,98,501,132,7,2,60,23
180375,198100,20392,22337,94,97,794,513,6,3,83,54
211802,219597,22060,22779,96,93,674,338,4,7,86,58
216720,228162,22169,23200,94,96,500,446,6,4,68,55
197706,219557,21996,24307,96,99,154,121,4,1,23,11
220052,222824,24416,24943,97,97,166,166,3,3,19,19
228679,248409,23800,25612,97,98,150,148,3,2,22,29
189540,204416,21352,23039,95,98,288,180,5,2,42,18
227345,231410,23711,24034,97,97,138,138,3,3,21,21
196587,217013,21163,23405,93,98,414,268,7,2,42,27
114280,120379,15971,16824,96,96,404,326,4,4,62,50
129870,138222,17872,19107,97,96,551,730,3,4,67,85
112346,120605,15671,16919,91,95,765,673,9,5,147,116
116677,127047,16324,17912,90,93,858,521,10,7,119,68
125009,134791,17638,18844,91,94,925,855,9,6,120,112
121569,135292,16519,18394,93,95,693,375,7,5,103,57
102725,106883,15286,15909,92,95,646,509,8,5,103,86
111729,127699,15327,17355,91,94,1129,555,9,6,154,79
111118,115407,16162,16790,91,93,630,913,9,7,105,150
112689,121886,15680,17010,92,94,952,644,8,6,133,106
193400,205510,22054,23357,93,96,729,919,7,4,102,94
212842,233230,22909,24904,94,97,343,248,6,3,62,53
182930,206923,20281,22987,94,98,1311,56,6,2,146,8
188063,200510,21149,22675,96,97,592,596,4,3,75,76
190029,211659,21817,24140,94,98,797,587,6,2,104,66
202052,213143,21663,22704,95,94,905,639,5,6,125,91
170311,175834,18981,19749,95,95,413,231,5,5,68,37
212887,239459,22573,25429,92,99,766,344,8,1,98,43
222978,247018,24420,27061,95,97,824,402,5,3,74,47
204217,231277,21633,24357,95,96,669,406,5,4,77,67
