TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
42259,44655,5980,6314,62,64,1076,889,13,11,172,143
41439,50996,5879,7104,61,67,907,465,14,8,131,65
40429,46187,5801,6744,63,64,811,657,12,11,151,116
47006,57051,6348,7665,67,69,392,435,8,6,75,86
39586,51028,5211,6564,61,66,1060,734,14,9,129,89
43523,49685,5852,6618,65,62,633,527,10,13,92,81
33943,37159,5196,5665,57,57,1299,1238,18,18,192,184
32142,38435,4479,5229,58,62,1059,751,17,13,155,108
77321,86973,8314,9152,65,65,863,904,10,10,100,105
70527,83296,7350,8103,59,64,1580,792,16,11,175,102
56889,65581,5926,6836,54,58,2203,1786,21,17,233,190
66577,76561,7484,8197,67,67,298,151,8,8,39,19
74584,91454,8329,9972,63,69,855,388,12,6,107,50
69544,74357,7935,8372,66,67,759,579,9,8,100,84
70776,81804,7123,7951,64,63,1088,1003,11,12,138,126
64986,78063,7138,8350,62,63,1712,1093,13,12,166,121
75038,84280,8248,9286,66,67,921,896,9,8,91,93
70966,83260,7069,8260,61,66,1580,1015,14,9,173,133
37388,42432,5177,5877,56,60,2138,2137,19,15,326,329
44488,51006,6106,7061,60,61,2316,1646,15,14,355,250
43119,49165,6191,7004,61,63,1584,1112,14,12,233,171
27038,33619,3943,4916,53,58,1957,1250,22,17,321,212
38040,43240,5638,6425,57,59,2186,1935,18,16,319,283
37947,44614,5698,6462,66,65,571,626,9,10,104,122
31157,37114,4527,5448,56,58,2386,2234,19,17,390,355
33938,43029,4969,6244,56,59,2242,1259,19,16,356,201
29435,35866,4386,5295,62,62,1493,1355,13,13,208,189
44763,49864,6789,7501,67,67,588,463,8,8,97,78
49215,57798,5148,5962,55,58,2362,2100,20,17,306,283
44022,53839,5359,6568,62,62,1503,1428,13,13,207,197
60612,81103,7174,9257,65,66,942,835,10,9,121,132
80260,87701,8332,8873,60,63,1568,1321,15,12,222,186
78390,93843,7867,8949,62,67,1726,1615,13,8,190,190
74912,89388,7139,8184,58,58,2640,2725,17,17,329,324
61141,73727,6688,7852,53,58,2164,1639,22,17,282,235
64207,70026,6518,7135,59,60,2561,2472,16,15,292,291
47278,55407,5223,5985,53,58,3449,2247,22,17,407,270
60197,69386,6287,7127,62,64,1607,1506,13,11,192,177
52697,57403,7195,7887,82,82,1404,1404,18,18,228,228
42174,46962,6061,6739,79,81,1203,1102,21,19,205,187
61851,67711,8401,9274,84,83,1462,1399,16,17,187,182
46067,50798,6655,7327,87,89,1005,953,13,11,153,145
59396,63355,7859,8313,86,86,676,712,14,14,123,128
51023,54613,7138,7661,79,84,1185,1070,21,16,194,178
52279,58643,7398,8332,80,81,1323,1298,20,19,202,200
51181,56622,6939,7758,78,79,1699,1642,22,21,266,257
45732,60380,6939,9080,82,91,1470,411,18,9,200,67
63316,68751,8999,9756,89,89,723,703,11,11,111,109
74946,81608,7828,8559,85,86,1181,1189,15,14,154,155
97827,104710,10578,11397,93,92,602,550,7,8,75,67
64648,70584,7213,7884,82,83,1521,1519,18,17,210,210
72249,74442,7834,8128,81,80,1590,1583,19,20,182,181
92315,96805,9642,10227,86,86,1116,1181,14,14,145,157
88919,96932,9467,10272,85,85,1568,1493,15,15,210,203
91409,100579,9453,10295,86,86,1181,1048,14,14,149,144
91312,95845,9901,10345,87,90,821,741,13,10,116,107
65338,70357,7438,7995,85,84,1364,1245,15,16,179,153
75921,84448,8724,9672,82,81,1839,1763,18,19,240,234
42159,49124,6071,6948,71,75,2758,2616,29,25,440,410
50241,56087,6688,7419,79,81,2111,2032,21,19,307,285
52422,58100,7231,8113,80,85,2632,2062,20,15,407,319
51220,55983,6926,7492,78,80,2557,2312,22,20,388,355
45102,50464,6330,7048,76,76,2546,2208,24,24,383,341
41625,44716,6118,6564,75,78,3050,2732,25,22,417,375
47580,53050,6696,7527,75,79,2829,2314,25,21,421,338
54699,67375,7196,8726,78,81,2428,2257,22,19,336,314
52073,58771,7461,8409,79,82,2985,2669,21,18,420,391
43241,48712,6021,6785,70,74,2825,2578,30,26,457,412
68743,77752,8085,9167,75,77,3495,3281,25,23,408,375
78980,83754,8546,9177,78,82,2850,2300,22,18,421,354
60632,68918,6851,7908,77,81,3319,2932,23,19,421,393
76919,81399,8599,9156,80,81,2795,2653,20,19,289,270
86091,91770,8548,9016,84,84,2152,2201,16,16,278,283
84630,91945,9168,9911,80,79,3086,3114,20,21,352,350
75535,82439,8194,9021,89,90,1318,1319,11,10,170,158
102824,113712,9636,10607,83,85,1886,1738,17,15,218,195
81263,87555,8571,9322,83,85,1884,1530,17,15,214,175
78349,86949,8810,9815,81,82,2147,1925,19,18,288,258
77326,90810,10757,12341,86,88,1219,1081,14,12,156,143
73212,80591,9953,11243,82,84,1312,1287,18,16,177,173
69754,76105,10027,10912,83,84,1110,1042,17,16,155,142
86149,92776,11749,12582,85,85,1193,1172,15,15,152,151
75879,82706,10215,11214,83,85,1521,1255,17,15,211,182
93566,103080,13131,14092,94,94,343,302,6,6,59,53
83398,90312,11406,12472,81,86,1631,1240,19,14,227,180
63381,65184,9427,9770,88,89,881,774,12,11,141,126
72096,77206,10346,11085,83,83,1308,1326,17,17,166,168
84028,88269,11741,12392,88,88,711,417,12,12,104,68
138062,151840,14020,15079,87,87,947,933,13,13,112,120
105512,107929,12091,12311,82,81,1685,1689,18,19,211,215
163377,172911,16692,17585,86,88,1117,1193,14,12,139,152
172051,177779,16645,17170,91,92,508,511,9,8,69,72
128746,137873,13672,14498,91,90,524,599,9,10,73,83
118903,123361,13584,14048,88,89,1105,1047,12,11,132,127
115242,120990,12495,13001,84,84,1504,1519,16,16,177,193
123745,133256,12535,13378,83,82,1307,1277,17,18,178,180
126175,139610,13051,14138,86,87,1272,1184,14,13,154,151
135816,147962,13973,15082,90,91,962,708,10,9,104,83
62918,67065,8769,9250,74,77,2275,1943,26,23,317,278
70261,77632,9515,10550,82,86,2338,2085,18,14,342,312
65984,68386,9229,9602,79,76,2538,2435,21,24,365,345
63088,67760,9021,9697,77,77,2516,2428,23,23,369,357
65230,72096,9562,10455,84,84,2289,1917,16,16,278,236
71975,83283,10525,11713,79,79,2060,1948,21,21,317,302
72288,82000,9918,11349,76,81,2579,1990,24,19,397,313
64189,69573,9212,9946,82,81,1817,1921,18,19,296,312
73118,81197,10610,11832,81,83,1687,1608,19,17,268,254
68937,77773,9928,11111,85,85,1680,1448,15,15,257,218
102602,111276,10949,11930,87,87,2106,2080,13,13,274,269
121797,128797,14188,14868,86,86,1621,1582,14,14,210,204
170413,182465,15424,16355,82,80,2880,2570,18,20,337,334
110014,117076,12381,13321,85,84,1856,1693,15,16,243,220
102970,116039,11720,13025,83,84,2521,2354,17,16,280,282
131495,139346,13004,13686,77,83,2617,2457,23,17,351,345
104821,116485,10977,12213,82,82,2285,1820,18,18,279,244
115543,125279,13076,14113,83,84,1869,1866,17,16,278,290
97742,105538,10771,11614,84,85,2178,2150,16,15,230,229
120272,136913,12428,13916,78,81,3307,2643,22,19,418,353
56798,61740,7704,8371,85,86,913,940,15,14,123,126
57436,61246,8547,9127,83,87,1469,1149,17,13,192,150
48622,59982,6769,8343,82,86,1320,1189,18,14,207,181
51571,59251,7446,8693,83,84,1206,1220,17,16,176,175
52976,62380,7601,8895,86,86,794,717,14,14,115,97
51710,57844,7557,8375,86,88,1444,1313,14,12,233,210
57963,62593,8040,8719,87,87,1501,1406,13,13,180,171
42992,48626,6350,7144,84,87,956,766,16,13,148,121
51033,57558,7268,8263,84,87,1513,997,16,13,228,162
48688,54009,6848,7647,82,81,1242,1273,18,19,185,187
92897,101653,9425,10307,81,84,1155,1106,19,16,156,152
86741,91060,9754,10178,86,86,1330,1378,14,14,154,163
84076,90468,8570,9287,83,85,1627,1506,17,15,197,167
87173,97953,9287,10428,83,86,1273,888,17,14,162,135
92716,97143,9953,10199,88,87,1412,1356,12,13,161,156
94281,107271,9999,11267,88,89,1132,679,12,11,148,101
89803,99714,9429,10442,85,86,1296,1224,15,14,148,140
104226,108348,10593,11088,87,87,1056,933,13,13,130,116
89194,103127,9132,10365,82,84,1848,1804,18,16,226,218
113861,125335,11282,12407,89,92,718,621,11,8,87,76
51114,58830,7823,8948,87,86,1058,1142,13,14,192,216
55387,59251,7918,8510,81,81,2156,2347,19,19,291,319
50549,60512,7552,8973,83,84,2002,1717,17,16,292,267
36126,43841,5510,6606,80,83,2370,2160,20,17,291,269
49015,57312,7294,8562,77,79,2586,2318,23,21,358,324
45678,49271,6730,7217,82,81,2059,2058,18,19,356,354
57310,66262,7928,9058,78,78,2835,2807,22,22,389,399
49691,56389,7258,8376,76,80,2850,2788,24,20,378,363
41736,46894,5711,6378,72,75,2734,2619,28,25,433,420
44056,50587,6540,7460,80,80,2075,2118,20,20,290,296
81563,91076,8616,9813,82,81,3138,3151,18,19,357,353
96702,102775,10162,10344,87,84,2066,2450,13,16,271,330
96864,112328,10150,11477,85,87,1823,1327,15,13,228,191
76665,79899,8957,9355,89,90,1646,1771,11,10,207,211
79348,85627,8837,9414,83,86,1525,1347,17,14,201,185
74496,85213,8575,9773,79,85,3080,2544,21,15,336,278
96055,100583,9311,9798,81,86,2378,1997,19,14,265,217
79720,92850,8474,9965,80,81,3114,2673,20,19,369,340
92887,98124,9539,10010,82,80,3223,3057,18,20,418,403
86434,90183,9429,9905,84,86,1334,1245,16,14,186,170
86711,90562,12054,12620,90,90,945,980,10,10,155,159
70127,77388,9242,10040,81,85,1443,1367,19,15,205,193
81774,88300,11242,12074,88,88,781,817,12,12,125,127
90800,105074,12187,14268,87,90,943,435,13,10,148,74
81505,94847,10895,12494,87,87,1059,876,13,13,143,128
74550,84915,10829,12329,89,91,475,415,11,9,94,84
73816,83296,10974,12088,84,85,1187,1263,16,15,158,165
65866,71263,9256,9931,89,89,798,715,11,11,111,99
71437,78179,9882,10887,87,88,1134,1037,13,12,167,155
72601,80559,10660,11653,86,86,1004,938,14,14,133,130
123708,142641,13409,15336,91,92,696,617,9,8,95,89
118065,126952,13459,14348,86,87,1226,1140,14,13,170,162
122632,134949,12905,13792,87,88,751,666,13,12,106,94
161120,166292,17173,17428,91,91,824,824,9,9,111,111
135850,146942,14231,15287,94,94,295,295,6,6,52,52
118852,130277,11800,12897,86,88,1276,1142,14,12,121,128
125428,138469,12839,14021,85,88,1074,838,15,12,128,108
111826,123500,12145,13138,84,86,1295,1257,16,14,189,180
147028,161155,14942,16438,86,88,1189,1267,14,12,134,148
126246,140308,13849,15202,85,86,2028,1791,15,14,225,192
69192,79859,10437,11909,85,88,883,1081,15,12,129,172
73822,81835,9543,10625,79,79,2348,2304,21,21,363,352
80860,87455,12182,13099,90,88,1137,1236,10,12,182,202
68721,76124,9983,11113,83,85,2220,2176,17,15,314,309
78737,91891,10499,12306,88,91,606,405,12,9,114,88
89706,98192,12523,13746,88,88,1588,1588,12,12,222,222
68253,76400,10599,11890,91,91,747,656,9,9,135,120
65701,78070,9097,10794,79,79,2072,1867,21,21,347,304
81856,90954,11773,12976,85,85,879,879,15,15,136,136
70302,81553,10237,11892,77,79,2720,2418,23,21,389,344
124360,131245,13811,14417,85,85,2363,2286,15,15,279,279
130092,142827,13807,14994,81,83,3799,3780,19,17,429,435
122454,133127,14103,14974,88,87,1783,1697,12,13,211,205
116027,121471,13062,13704,83,84,2206,2297,17,16,334,348
119587,131035,13122,14276,85,86,1988,1967,15,14,235,232
118594,131071,11967,13388,86,86,1906,2033,14,14,206,220
94300,105135,10722,11985,86,86,2243,2253,14,14,280,273
141886,148460,14400,14706,87,87,1232,1240,13,13,154,156
142369,156543,14692,16389,83,82,2409,2397,17,18,324,324
129491,144938,13770,15076,87,89,1759,1309,13,11,174,143
