Instance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
133,157.89,546.49,223.68,39.47,323.68,799.12,39.47,843.86,0,16.67,0,0,0,9.65,9.65,9.65
134,5614.29,957.14,928.57,3242.86,1114.29,3578.57,2764.29,6407.14,0,7.14,0,0,0,7.14,150,100
135,2829.41,1805.88,1623.53,494.12,1458.82,1094.12,1317.65,2223.53,0,258.82,0,0,0,0,0,0
136,272000,219000,0,0,0,171000,0,132000,0,0,0,0,0,0,0,0
137,2657.89,1426.32,1231.58,1447.37,1563.16,1718.42,2555.26,3197.37,0,42.11,2.63,102.63,2.63,31.58,26.32,0
138,505000,528000,68000,16000,29000,182000,90000,553000,0,8000,0,0,0,0,0,0
139,8112.5,10500,987.5,0,5000,5612.5,0,15675,0,0,0,0,0,0,0,0
140,3011.76,3864.71,305.88,1988.24,235.29,488.24,1064.71,2664.71,5.88,5.88,0,5.88,0,0,5.88,5.88
141,593.44,517.56,213.49,268.87,325.37,81.11,180.25,471.59,46.77,25.73,0.8,25.73,25.73,44,21.85,25.73
142,347.48,255.79,187.83,401.78,35.61,84.27,321.66,363.8,14.54,0,0,25.82,0,0,0,13.35
143,1213.38,1063.06,85.99,22.29,85.99,326.11,22.29,1017.83,5.1,0,0,0,0,0,10.19,10.19
144,764.92,300.52,200.52,260.73,100.52,274.87,170.16,815.18,43.46,24.08,24.08,0,5.76,0,47.64,29.84
145,521.74,409.66,116.43,464.73,350.72,136.23,476.33,400.48,14.98,28.99,0,0,0,14.98,14.98,14.98
146,753.05,784.98,274.18,27.23,261.97,158.22,143.66,476.06,0,54.93,0,0,0,0,0,0
147,652.72,345.67,63.28,177,63.28,228.36,177,685.02,30.99,24.26,6.76,4.74,4.74,4.74,0.03,4.74
148,667.21,986.89,446.45,362.84,890.71,145.36,233.88,1211.48,0,87.98,3.28,0,25.14,0,0,3.28
149,1356.57,1583.43,844,272.57,328,57.14,272.57,797.71,90.86,40,101.14,0,0,0,0,0
150,733.9,231.86,112.54,206.44,154.58,161.36,217.29,309.83,69.83,18.98,0,0,0,0,4.07,0
151,396.67,688.57,356.19,83.33,125.24,348.1,132.38,742.86,0,66.67,0,0,0,0,0,0
152,1100000,945000,212000,384000,0,125000,54000,1618000,34000,42000,0,0,0,0,0,0
153,2253.33,2420,526.67,153.33,851.67,806.67,923.33,921.67,0,63.33,0,0,0,23.33,0,0
154,378000,956000,70000,77000,184000,111000,140000,229000,0,0,0,0,0,0,0,0
155,993.33,702.22,324.44,277.78,164.44,624.44,277.78,1004.44,0,17.78,0,0,0,17.78,17.78,0
156,1498000,389000,92000,47000,93000,223000,165000,1286000,14000,14000,0,0,0,0,14000,22000
157,1672.86,2171.43,765.71,811.43,318.57,692.86,811.43,2470,0,151.43,0,0,0,0,100,0
158,2239.13,824.64,168.12,1460.87,489.86,1631.88,666.67,1279.71,0,97.1,0,0,13.04,88.41,0,0
159,3159.32,3089.83,601.69,2481.36,1252.54,2200,284.75,2035.59,66.1,161.02,0,106.78,0,242.37,38.98,38.98
160,111.67,250.63,129.98,112.57,105.75,160.86,101.44,295.33,0,5.92,9.87,0.18,0.18,0.18,0.18,0.18
