Insrance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
320,69.53,84.26,56.16,45.3,32.71,17.26,32.35,35.32,21.63,10.74,0.1,17.18,11.41,2.9,25.65,28.96
321,97.57,85.15,79.92,69.55,40.53,14.99,93.17,82.02,50.69,54.23,69.22,39.27,30.48,2.3,55.06,47.31
322,110.37,108.36,74.98,69.75,50.28,19.08,92.57,79.85,69.36,46.44,82.42,41.5,19.68,3.3,68.83,66.53
323,101.49,95.97,78.38,69.49,41.86,10.74,85.4,70.37,55.97,41.65,87.25,34.05,23.08,1.14,58.2,67.07
324,65.5,82.4,64.3,62.24,43.65,18.73,65.07,66.11,34.79,42.07,55.89,38.48,22.89,4.26,41.93,39.73
325,129.09,131.85,120.07,107.95,87.28,37.22,118.4,102.97,74.84,83.68,91.05,62.56,49.91,10.51,61.79,86.79
326,93.12,109.57,70.33,43.06,48.18,22.15,83.24,67.82,65.53,47.69,76.26,31.11,26.95,4.48,61.92,60.03
327,110.06,94.77,91.08,82.62,78.15,28.54,76.82,84.41,69.02,65.29,80.18,65.57,43.39,7.4,64.36,67.05
328,90.82,99.75,76.58,57.42,47.69,22.62,104.98,85.29,61.28,56.35,84.72,46.85,32.34,4.88,71.7,80.53
329,123.39,114.58,91.84,79.73,73.21,20.34,109.66,104,63.93,53.39,77.43,64.16,35.07,3.35,59.44,80.83
330,92.72,76.22,68.82,57.7,58.2,18.95,72.12,57.79,50.28,46.41,55.58,39.68,24.46,3.87,44.47,42.4
331,76.09,76.78,55.82,72.03,53.16,17.46,69.52,69.4,34.06,44.01,57.43,47.82,25.4,3.97,43.15,41.01
332,69.7,77.28,50.97,46.69,32.29,16.87,49.75,51.31,41.53,40.15,71.1,32.36,23.07,3.68,33.82,32.64
333,68.25,87.6,81.54,63.32,53.54,17.4,83.47,63.53,33.53,49.17,61.95,32.96,35.45,3.45,48.47,43.15
334,79.08,96.32,77.11,78.35,48,25.15,80.54,65.39,54.64,55.39,86.59,46.68,35.16,6.57,59.71,60.43
335,96.55,116.29,88.59,83.89,65.4,35.98,101.18,88.6,56.32,62.89,81.18,57.02,44.28,11.13,65.59,51.26
336,85.78,99.26,82.37,53.52,56.89,16.69,73.94,80.01,52.9,54.04,82.88,40.53,32.54,2.81,60.49,53.9
337,91.5,89.06,62.69,51.16,42.84,20.59,55.28,58.26,37.54,41.88,59.54,30.88,27.15,4.64,49.84,48.5
338,66.21,86.88,51.21,57.58,40.17,17.68,67.57,56.62,36.17,35.03,66.72,32.09,21.68,3.6,50,46.62
339,85.03,94.86,59.17,28.13,29.25,3.72,57.94,54.97,30.96,39.95,71.32,14.61,8.54,0.15,41.35,43.04
340,47.73,79.22,53.14,53.45,33.56,11.24,56.79,35.99,22.02,33.17,57.39,26.17,13.91,1.59,39.09,40.73
341,96.34,119.04,94.97,94.24,69.05,18.49,107.2,108.15,51.68,53.43,81.59,62.91,31.14,2.87,72.15,76.13
342,100.34,76.97,84.23,68.93,49.63,24.53,75.94,73.57,55.69,55.7,57.9,44.37,29.99,6,55.29,52.31
343,130.32,103.86,100.76,120.47,77.22,33.26,132.66,110.86,73.82,69.24,72.27,84.47,55.33,8.34,49.96,70.11
344,119.66,64.41,71.21,77.53,64.1,17.14,100.38,83.11,61.5,57.95,59.94,57.11,24.18,2.45,56.33,54.34
345,133.14,104.36,73.87,75.32,75.84,28.47,73.86,105.99,68.71,58.45,79.63,43.21,50.13,6.09,70.74,62.46
346,124.41,120.01,93.34,71.4,57.71,27.44,88.79,82.35,75.46,63.12,97.95,50.41,32.28,6.05,69.46,70.7
347,82.32,94.11,72.8,81.24,56.18,29.82,86.72,83.42,51.86,53.18,61.79,44.9,31.96,9.45,48.41,56.43
348,89.13,93.99,83.58,98.98,39.68,17.04,85.55,79.26,64.56,48.84,72.03,43.41,21.56,2.93,48.24,60.8
349,248.25,236.89,254.28,222.8,199.83,146.29,232.2,194.95,162.36,189.75,212.89,154.19,151.49,84.17,193.56,221.69
350,79.77,103.34,83.36,66.54,60.54,34,81.24,91.39,52.95,56.89,80.15,48.31,39.3,11.18,57.31,55.98
351,43.94,63.46,47.78,54.05,33.68,7.82,51.18,36.26,20.02,28.03,42.99,31,18.79,0.96,26.25,24.96
352,96.12,87.25,83.47,89.39,79.91,49.96,102.39,88.88,44.65,66.42,78.84,61.51,48.56,19.47,59.31,57.13
353,101.92,126.59,103.25,51.4,64.15,15.74,68.65,53.98,66.96,64.45,94.29,32.15,32.35,1.96,62.46,63.01
354,62.91,70.5,51.62,68.43,28.92,21.91,59.4,52.82,21.21,33.07,52.91,38.14,16.41,3.82,28.74,37
355,74.67,81.52,46.87,56.05,39.55,9.37,66.61,58.82,44.18,32.1,71.16,31.84,16.63,1.08,32.74,36.7
356,110.07,109.05,97.59,84.11,62.48,65.85,108.25,105.95,59.45,62.45,102.02,66.63,51.94,24.51,66.4,66.24
357,88.08,96.58,77.59,81.29,49.02,17.4,96.92,77.98,59.77,56.77,76.15,53.8,29.31,3.12,46.08,62.13
358,65.37,92.19,46.61,40.91,29.95,14.53,53.01,55.11,32.77,30.44,67.72,28.76,18.84,2.29,37.76,32.19
359,111.38,106.42,82.19,91.07,65.75,26.14,117.05,93.24,52.79,59.02,87.59,64.02,34.19,5.84,59.85,53.42
